Model,Experiment,Accuracy,Precision,Recall,F1_Score,FPR,TN,FP,FN,TP
Random Forest,Unknown Attack Test,0.5732027704800573,0.9962223421478684,0.1469628214314147,0.2561398640210906,0.0005572804713,12554,7,10715,1846
MLP,Unknown Attack Test,0.5562853276013057,0.9971870604781996,0.1128891011862112,0.202817707215905,0.0003184459836,12557,4,11143,1418
CNN,Unknown Attack Test,0.5817212005413581,0.986723565670934,0.1656715229679165,0.283708248125426,0.0022291218852002,12533,28,10480,2081
OCSVM,Unknown Attack Test,0.7963935992357296,0.9278326821420364,0.6427832178966643,0.7594412829798242,0.049996019425205,11933,628,4487,8074
LOF,Unknown Attack Test,0.5521853355624552,0.752991123118487,0.1553220285009155,0.2575237592397043,0.0509513573760051,11921,640,10610,1951
LOF,Unknown Attack Test,0.5521853355624552,0.752991123118487,0.15532202850091553,0.25752375923970433,0.0509513573760051,11921,640,10610,1951
